alpha,target,n_days,mean_ic,std_ic,icir,positive_ic_ratio,t_stat
alpha_26_1_day_return_z,ret_fwd_5d,767,-0.008649435599351005,0.16588557697373074,-0.05214097426155807,0.4810951760104302,-1.4440320211326347
alpha_27_5_day_return_z,ret_fwd_5d,763,-0.0053409815196575105,0.1660675247330249,-0.03216150495555246,0.4967234600262123,-0.8883797115916128
alpha_28_21_day_return_z,ret_fwd_5d,747,4.379734924433764e-05,0.17516050368730032,0.0002500412383063562,0.5113788487282463,0.0068339522809111476
alpha_29_63_day_return_z,ret_fwd_5d,705,0.006215960918468572,0.19334596535723841,0.03214942141142466,0.5205673758865248,0.8536261678556991
alpha_30_126_day_return_z,ret_fwd_5d,642,0.01820650131220075,0.19618521018489404,0.09280261898968888,0.557632398753894,2.351406674874366
alpha_31_252_day_return_z,ret_fwd_5d,516,0.03543385069364126,0.18435875658354448,0.19220052982720115,0.5988372093023255,4.3659567716117085
alpha_32_12_1_month_momentum_z,ret_fwd_5d,516,0.03842854802069508,0.1887006963478006,0.20364815162031055,0.6007751937984496,4.625996751373524
alpha_33_residual_momentum_z,ret_fwd_5d,0,,,,,
alpha_34_sector_neutral_momentum_z,ret_fwd_5d,0,,,,,
alpha_35_industry_momentum_z,ret_fwd_5d,0,,,,,
alpha_36_52_week_high_proximity_z,ret_fwd_5d,517,0.0030421182860232983,0.1998893210057718,0.015219013555683933,0.5183752417794971,0.34604436009763717
alpha_37_20_day_breakout_z,ret_fwd_5d,720,-0.004188147227516885,0.10415295847709768,-0.0402115051627441,0.4986111111111111,-1.0789879082577547
alpha_38_20_day_breakdown_z,ret_fwd_5d,694,0.0035147123721743783,0.09307082835445835,0.03776384538868256,0.4956772334293948,0.9948462016145928
alpha_39_1_day_reversal_z,ret_fwd_5d,767,0.008649435599351005,0.16588557697373074,0.05214097426155807,0.5189048239895697,1.4440320211326347
alpha_40_5_day_reversal_z,ret_fwd_5d,763,0.0053409815196575105,0.1660675247330249,0.03216150495555246,0.5032765399737876,0.8883797115916128
alpha_41_21_day_reversal_z,ret_fwd_5d,747,-4.379734924433764e-05,0.17516050368730032,-0.0002500412383063562,0.4886211512717537,-0.0068339522809111476
alpha_42_overnight_return_z,ret_fwd_5d,767,-0.0032804174226780318,0.17985673510405503,-0.01823905799680043,0.5097783572359843,-0.5051264222750265
alpha_43_intraday_return_z,ret_fwd_5d,768,-0.006849128334236505,0.15356387283900116,-0.04460116958249185,0.48046875,-1.2360238687019431
alpha_44_overnight_intraday_reversal_z,ret_fwd_5d,767,0.0032804174226780318,0.17985673510405503,0.01823905799680043,0.49022164276401564,0.5051264222750265
alpha_45_gap_fill_signal_z,ret_fwd_5d,767,0.0032804464410770475,0.17985673683643638,0.018239219162862495,0.49022164276401564,0.5051308857312169
alpha_46_vwap_deviation_reversion_z,ret_fwd_5d,768,0.0017921218739346718,0.14312297112673453,0.012521553038105664,0.4947916666666667,0.34700745682667905
alpha_47_20_day_moving_average_distance_z,ret_fwd_5d,749,-0.010854684676947618,0.16896793725832807,-0.06424109125716757,0.507343124165554,-1.7581414723018984
alpha_48_ma20_ma60_crossover_z,ret_fwd_5d,709,0.01648667738545812,0.19791086571080466,0.08330354842441605,0.538787023977433,2.2181280749069052
alpha_49_ma20_slope_z,ret_fwd_5d,744,0.004144130903973319,0.17909172437831872,0.02313971188986451,0.5147849462365591,0.6311671903397522
alpha_50_rsi_reversion_score_z,ret_fwd_5d,754,0.007581087356413987,0.1584968931888371,0.04783114169551382,0.47745358090185674,1.3133982105156934
alpha_51_macd_normalized_z,ret_fwd_5d,767,0.009267302951775875,0.1846384042715268,0.05019163260394897,0.5449804432855281,1.390045462316248
alpha_52_bollinger_z_score_z,ret_fwd_5d,749,-0.01230976035780249,0.15307863231866808,-0.08041462202364676,0.5126835781041389,-2.200776468651297
alpha_53_bollinger_reversion_z,ret_fwd_5d,749,0.01230976035780249,0.15307863231866808,0.08041462202364676,0.48731642189586116,2.200776468651297
alpha_54_daily_high_low_range_z,ret_fwd_5d,768,0.03253570266051697,0.16874051060131956,0.19281500657176828,0.5794270833333334,5.343446205504474
alpha_55_average_true_range_z,ret_fwd_5d,755,0.013096428920417747,0.15400984996586153,0.08503630724476881,0.5509933774834437,2.3365650066110235
alpha_56_21_day_realized_volatility_z,ret_fwd_5d,747,0.036045711481784724,0.21881940453025725,0.16472813075771123,0.5555555555555556,4.5022340816541755
alpha_57_63_day_realized_volatility_z,ret_fwd_5d,705,0.03381159524141081,0.2437758826821736,0.13869950903015774,0.550354609929078,3.6827266301845967
alpha_58_downside_volatility_z,ret_fwd_5d,705,0.031575472058963876,0.22504655394024384,0.14030640108067616,0.5460992907801419,3.725392564531844
alpha_59_idiosyncratic_volatility_z,ret_fwd_5d,0,,,,,
alpha_60_market_beta_z,ret_fwd_5d,0,,,,,
alpha_61_return_skewness_z,ret_fwd_5d,705,0.0037267785814510744,0.08692770347918947,0.042872161949421186,0.5333333333333333,1.1383346171066155
alpha_62_return_kurtosis_z,ret_fwd_5d,705,0.0015095382313865425,0.08594602758273831,0.017563792927292002,0.5106382978723404,0.46635095100677
alpha_63_63_day_max_drawdown_z,ret_fwd_5d,706,-0.022411992177209766,0.21847052836685046,-0.10258588352739316,0.4801699716713881,-2.7257746844450828
alpha_64_abnormal_volume_z,ret_fwd_5d,749,0.007014042671749265,0.06992185380572481,0.10031259599091169,0.5393858477970628,2.745341521361681
alpha_65_dollar_volume_z,ret_fwd_5d,768,0.016737866301311428,0.13300237934395723,0.12584636743998134,0.5716145833333334,3.48755683766447
alpha_66_turnover_z,ret_fwd_5d,0,,,,,
alpha_67_amihud_illiquidity_z,ret_fwd_5d,747,0.0005121586314384585,0.1253440384798407,0.004086023058215328,0.48460508701472554,0.11167632502416841
alpha_68_adv_trend_z,ret_fwd_5d,709,0.009810428442466653,0.08744900193392055,0.11218456729648839,0.5275035260930888,2.9871445214294097
alpha_69_price_volume_correlation_z,ret_fwd_5d,748,-0.0017995785135957367,0.10627805525232191,-0.016932738459724688,0.4919786096256685,-0.46310343180070357
alpha_70_on_balance_volume_change_z,ret_fwd_5d,748,0.00329915868106941,0.13084443284678443,0.025214360361305112,0.5414438502673797,0.6896023842660758
alpha_71_accumulation_distribution_slope_z,ret_fwd_5d,749,-0.00258303625305141,0.11391679404632576,-0.02267476252887686,0.4753004005340454,-0.6205598254398826
alpha_72_money_flow_index_z,ret_fwd_5d,755,-0.006061902330326446,0.1394458851017607,-0.04347136041987019,0.5205298013245033,-1.1944740174861332
alpha_73_chaikin_money_flow_z,ret_fwd_5d,749,0.0017367092448379775,0.126349261995709,0.013745305808726913,0.5447263017356475,0.37617966505353656
alpha_74_volume_confirmed_momentum_z,ret_fwd_5d,498,0.010280087639302491,0.10666484852344273,0.09637746438127778,0.5341365461847389,2.1507511685457956
alpha_75_low_volatility_momentum_z,ret_fwd_5d,642,0.016982014683089207,0.19036208659838405,0.08920901733398716,0.5467289719626168,2.260353006216637
