n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,mean_icir,std_score
300,5,0.05,0.9,1.0,10.0,0.13448184346074626,0.25139562621056233
500,3,0.1,0.9,1.0,10.0,0.13444146227599607,0.25953661284896634
200,4,0.1,0.9,1.0,20.0,0.13394323009966297,0.2669055276711613
200,3,0.1,0.9,1.0,20.0,0.13289625791042944,0.32565255355968714
300,5,0.05,0.7,1.0,20.0,0.13272109739240762,0.28546493833637865
200,3,0.03,0.9,1.0,10.0,0.1325651486650323,0.24613162613702344
500,5,0.1,0.9,1.0,10.0,0.13209041312003802,0.21144870674349603
500,5,0.03,0.7,0.7,5.0,0.13201477666457134,0.26710426338740006
500,4,0.1,0.9,1.0,20.0,0.13198081323154132,0.2567993751967966
300,4,0.1,0.9,1.0,20.0,0.1311286141820923,0.26432539073829875
500,5,0.03,0.7,0.7,10.0,0.13109697214560154,0.25027140463510644
200,5,0.03,0.7,0.7,5.0,0.13094704196437154,0.25856431559288123
300,3,0.05,0.7,1.0,5.0,0.13056125214861486,0.2542934791398296
300,5,0.03,0.7,0.7,10.0,0.13042255962629878,0.25855308246107583
300,3,0.03,0.9,1.0,10.0,0.13041985946515122,0.24030559607465016
300,5,0.03,0.7,0.7,5.0,0.13011432581440344,0.2628805430227913
200,5,0.03,0.7,1.0,10.0,0.1289034806773584,0.2755843164372415
500,3,0.03,0.9,0.7,5.0,0.12863218928164877,0.27297913544913693
300,5,0.1,0.7,1.0,5.0,0.1284902048949408,0.21599341363526703
200,5,0.05,0.9,0.7,10.0,0.1272545881274231,0.22129715783128864
300,3,0.03,0.7,1.0,5.0,0.12646312715918662,0.3116676233540986
200,4,0.1,0.9,0.7,5.0,0.12640465624103164,0.2844020775207557
300,5,0.03,0.9,0.7,5.0,0.12619999035871377,0.22856281159811634
300,5,0.05,0.9,0.7,10.0,0.12603626397074033,0.21765515087431794
500,5,0.03,0.7,1.0,10.0,0.12601167712691175,0.26741816340448954
200,5,0.03,0.7,0.7,10.0,0.12599448666494278,0.26636248296419596
200,4,0.05,0.7,1.0,20.0,0.12586268059343353,0.3116871725460542
200,5,0.03,0.9,0.7,5.0,0.12583249057838386,0.23084182010991855
300,5,0.03,0.7,1.0,10.0,0.12574622392057128,0.27415546700211596
200,3,0.03,0.9,0.7,5.0,0.12532502665432182,0.2563880828288042
500,5,0.03,0.9,0.7,5.0,0.12508630788884206,0.2305354346529017
500,5,0.05,0.9,0.7,10.0,0.12415308066564014,0.21245490814067916
200,4,0.1,0.7,0.7,5.0,0.12405637298386965,0.2534001958910277
200,3,0.1,0.7,1.0,5.0,0.12361091649328938,0.28397335616401687
300,4,0.1,0.9,0.7,5.0,0.12336916300493085,0.2822070657893751
200,3,0.1,0.9,0.7,10.0,0.12280835123386305,0.2831235901139401
300,4,0.05,0.7,1.0,20.0,0.1225878927439949,0.29888864594980613
500,3,0.05,0.7,0.7,5.0,0.12137735415058105,0.2488696848454814
